States,States Code,Age Groups,Age Groups Code,Cancer Sites,Cancer Sites Code,Race,Race Code,Count,Population,Crude Rate
Alabama,1,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,16,233144,6.9
Alabama,1,40-44 years,40-44,Lung and Bronchus,22030,Black or African American,2054-5,16,88512,18.1
Alabama,1,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,37,250948,14.7
Alabama,1,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,36,84352,42.7
Alabama,1,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,103,241586,42.6
Alabama,1,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,58,69563,83.4
Alabama,1,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,175,225154,77.7
Alabama,1,55-59 years,55-59,Larynx,22020,White,2106-3,31,198471,15.6
Alabama,1,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,68,46985,144.7
Alabama,1,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,304,198471,153.2
Alabama,1,60-64 years ,60-64,Larynx,22020,White,2106-3,31,159936,19.4
Alabama,1,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,90,36886,244
Alabama,1,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,423,159936,264.5
Alabama,1,65-69 years,65-69,Larynx,22020,White,2106-3,32,136880,23.4
Alabama,1,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,96,32256,297.6
Alabama,1,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,509,136880,371.9
Alabama,1,70-74 years,70-74,Larynx,22020,White,2106-3,20,119821,16.7
Alabama,1,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,93,27189,342.1
Alabama,1,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,532,119821,444
Alabama,1,75-79 years,75-79,Larynx,22020,White,2106-3,17,97013,17.5
Alabama,1,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,74,21997,336.4
Alabama,1,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,493,97013,508.2
Alabama,1,80-84 years,80-84,Larynx,22020,White,2106-3,17,66396,25.6
Alabama,1,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,60,14469,414.7
Alabama,1,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,270,66396,406.7
Alabama,1,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,22,13899,158.3
Alabama,1,85+ years,85+,Lung and Bronchus,22030,White,2106-3,109,52315,208.4
Alaska,2,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,19,37272,51
Alaska,2,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,23,26068,88.2
Alaska,2,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,39,15887,245.5
Alaska,2,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,30,10201,294.1
Alaska,2,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,31,7880,393.4
Alaska,2,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,33,5759,573
Arizona,4,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,33,351493,9.4
Arizona,4,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,78,321335,24.3
Arizona,4,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,133,293657,45.3
Arizona,4,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,256,251942,101.6
Arizona,4,60-64 years ,60-64,Larynx,22020,White,2106-3,21,207457,10.1
Arizona,4,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,399,207457,192.3
Arizona,4,65-69 years,65-69,Larynx,22020,White,2106-3,27,183696,14.7
Arizona,4,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,450,183696,245
Arizona,4,70-74 years,70-74,Larynx,22020,White,2106-3,28,169342,16.5
Arizona,4,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,646,169342,381.5
Arizona,4,75-79 years,75-79,Larynx,22020,White,2106-3,21,141615,14.8
Arizona,4,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,533,141615,376.4
Arizona,4,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,387,96620,400.5
Arizona,4,85+ years,85+,Lung and Bronchus,22030,White,2106-3,197,69589,283.1
Arkansas,5,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,24,164702,14.6
Arkansas,5,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,19,29267,64.9
Arkansas,5,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,57,158508,36
Arkansas,5,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,26,23289,111.6
Arkansas,5,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,121,148468,81.5
Arkansas,5,55-59 years,55-59,Larynx,22020,White,2106-3,23,133999,17.2
