"Notes"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Cancer Sites"	"Cancer Sites Code"	Count	Population	Crude Rate
	" Akron, OH  "	"10420"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	23	19427	118.4
	" Akron, OH  "	"10420"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	42	14382	292.0
	" Akron, OH  "	"10420"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	23	13035	176.4
	" Akron, OH  "	"10420"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	41	11605	353.3
	" Akron, OH  "	"10420"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	36	12083	297.9
	" Akron, OH  "	"10420"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	45	10330	435.6
	" Akron, OH  "	"10420"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	50	12697	393.8
	" Akron, OH  "	"10420"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	53	10018	529.0
	" Akron, OH  "	"10420"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	40	11362	352.1
	" Akron, OH  "	"10420"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	64	7619	840.0
	" Akron, OH  "	"10420"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	19	7690	247.1
	" Akron, OH  "	"10420"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	30	4344	690.6
	" Akron, OH  "	"10420"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	17	2599	654.1
	" Albany-Schenectady-Troy, NY  "	"10580"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	31	25239	122.8
	" Albany-Schenectady-Troy, NY  "	"10580"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	22	19775	111.3
	" Albany-Schenectady-Troy, NY  "	"10580"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	43	18527	232.1
