,Year,Lung,State
0,1999,7.2,AL
1,2000,9.6,AL
2,2001,9.9,AL
3,2002,9.3,AL
4,2003,9.6,AL
5,2004,10.8,AL
6,2005,9.4,AL
7,2006,12.4,AL
8,2007,9.2,AL
9,2008,12.3,AL
10,2009,6.7,AL
11,2010,8.2,AL
12,2011,9.0,AL
13,2012,8.3,AL
14,2013,7.4,AL
15,2014,9.9,AL
16,2015,9.5,AL
0,2016,9.050687815830747,AL
1,2017,7.760755793136759,AL
2,2018,3.4448788207946546,AL
3,2019,4.400599138312231,AL
4,2020,0.5363805132197417,AL
5,2021,4.65177765549973,AL
6,2022,0.0,AL
7,2023,5.45450657386572,AL
8,2024,0.0,AL
9,2025,7.687455582534334,AL
