,Year,Larynx,State
0,1999,110.3,AL
1,2000,111.5,AL
2,2001,116.8,AL
3,2002,112.6,AL
4,2003,112.6,AL
5,2004,118.0,AL
6,2005,111.2,AL
7,2006,116.6,AL
8,2007,113.6,AL
9,2008,121.0,AL
10,2009,114.7,AL
11,2010,115.2,AL
12,2011,106.9,AL
13,2012,113.8,AL
14,2013,107.2,AL
15,2014,111.4,AL
16,2015,107.0,AL
0,2016,110.65526438370156,AL
1,2017,66.34669497913208,AL
2,2018,24.205763058942345,AL
3,2019,64.68643115108438,AL
4,2020,5.0486692079743705,AL
5,2021,66.09836345989412,AL
6,2022,0.0,AL
7,2023,89.4692732831393,AL
8,2024,0.0,AL
9,2025,161.53088251326562,AL
