,Year,Lung,State
0,1999,1.7,AZ
1,2000,1.4,AZ
2,2001,1.5,AZ
3,2002,1.2,AZ
4,2003,1.1,AZ
5,2004,1.3,AZ
6,2005,1.3,AZ
7,2006,1.1,AZ
8,2007,1.2,AZ
9,2008,1.3,AZ
10,2009,1.3,AZ
11,2010,0.9,AZ
12,2011,1.0,AZ
13,2012,0.9,AZ
14,2013,1.2,AZ
15,2014,1.0,AZ
16,2015,1.2,AZ
0,2016,0.8518285336925872,AZ
1,2017,0.5541052196673183,AZ
2,2018,0.29873691182186846,AZ
3,2019,0.8838040311096073,AZ
4,2020,0.0,AZ
5,2021,0.8828760070931252,AZ
6,2022,0.0,AZ
7,2023,1.4748758655483742,AZ
8,2024,0.0,AZ
9,2025,2.901841562686661,AZ
