,Year,Larynx,State
0,1999,56.1,AZ
1,2000,61.7,AZ
2,2001,61.5,AZ
3,2002,58.7,AZ
4,2003,60.8,AZ
5,2004,59.8,AZ
6,2005,64.2,AZ
7,2006,60.3,AZ
8,2007,62.2,AZ
9,2008,60.0,AZ
10,2009,63.8,AZ
11,2010,60.1,AZ
12,2011,62.9,AZ
13,2012,63.0,AZ
14,2013,62.4,AZ
15,2014,61.6,AZ
16,2015,63.6,AZ
0,2016,63.497891428076066,AZ
1,2017,80.7102469369208,AZ
2,2018,45.547834014335194,AZ
3,2019,88.70089321801915,AZ
4,2020,0.0,AZ
5,2021,113.57325613573349,AZ
6,2022,0.0,AZ
7,2023,200.50728036977898,AZ
8,2024,0.0,AZ
9,2025,411.8440205000659,AZ
