,Year,Lung,State
0,1999,5.8,AZ
1,2000,6.5,AZ
2,2001,6.8,AZ
3,2002,5.6,AZ
4,2003,5.7,AZ
5,2004,4.8,AZ
6,2005,5.3,AZ
7,2006,5.0,AZ
8,2007,4.8,AZ
9,2008,4.9,AZ
10,2009,4.6,AZ
11,2010,5.0,AZ
12,2011,4.6,AZ
13,2012,4.5,AZ
14,2013,5.0,AZ
15,2014,4.5,AZ
16,2015,4.1,AZ
0,2016,4.754294306737605,AZ
1,2017,4.195169707893909,AZ
2,2018,2.8796521089250673,AZ
3,2019,0.578326318980967,AZ
4,2020,1.9279836149895146,AZ
5,2021,0.0,AZ
6,2022,0.4350800016148957,AZ
7,2023,0.19696390454575097,AZ
8,2024,0.0,AZ
9,2025,0.6659821977330873,AZ
