,Year,Lung,State
0,1999,2.1,CA
1,2000,1.7,CA
2,2001,2.1,CA
3,2002,2.3,CA
4,2003,2.7,CA
5,2004,1.8,CA
6,2005,1.5,CA
7,2006,1.8,CA
8,2007,1.1,CA
9,2008,1.5,CA
10,2009,2.2,CA
11,2010,1.9,CA
12,2011,1.9,CA
13,2012,1.7,CA
14,2013,1.5,CA
15,2014,1.4,CA
16,2015,1.7,CA
0,2016,1.752225986569039,CA
1,2017,0.30174539048727556,CA
2,2018,0.9733952976676975,CA
3,2019,0.3165670770028321,CA
4,2020,0.4077621908307157,CA
5,2021,1.354112625572161,CA
6,2022,0.0,CA
7,2023,0.0,CA
8,2024,0.6934546027157988,CA
9,2025,0.0,CA
