,Year,Larynx,State
0,1999,38.2,CA
1,2000,41.8,CA
2,2001,39.7,CA
3,2002,36.9,CA
4,2003,40.8,CA
5,2004,40.3,CA
6,2005,39.8,CA
7,2006,40.0,CA
8,2007,38.5,CA
9,2008,39.4,CA
10,2009,40.2,CA
11,2010,40.7,CA
12,2011,38.8,CA
13,2012,42.1,CA
14,2013,42.5,CA
15,2014,40.0,CA
16,2015,42.8,CA
0,2016,42.119564217081404,CA
1,2017,35.49237632869628,CA
2,2018,41.12928993955913,CA
3,2019,12.054852801607623,CA
4,2020,32.24822816224821,CA
5,2021,6.271538297155789,CA
6,2022,12.505957515811428,CA
7,2023,19.000415503064303,CA
8,2024,0.0,CA
9,2025,24.669729590716205,CA
