,Year,Larynx,State
0,1999,43.9,CA
1,2000,40.9,CA
2,2001,41.2,CA
3,2002,39.5,CA
4,2003,46.1,CA
5,2004,47.4,CA
6,2005,47.4,CA
7,2006,46.3,CA
8,2007,45.0,CA
9,2008,42.0,CA
10,2009,47.5,CA
11,2010,48.0,CA
12,2011,43.1,CA
13,2012,43.1,CA
14,2013,43.4,CA
15,2014,47.1,CA
16,2015,44.7,CA
0,2016,44.9742262881254,CA
1,2017,22.503324990711203,CA
2,2018,33.229495790751066,CA
3,2019,26.60319631707054,CA
4,2020,19.170341552692268,CA
5,2021,15.500118248917444,CA
6,2022,10.363283230703512,CA
7,2023,7.845017581929421,CA
8,2024,8.64589599369226,CA
9,2025,5.637748022633512,CA
