,Year,Larynx,State
0,1999,61.5,CA
1,2000,62.4,CA
2,2001,62.4,CA
3,2002,61.5,CA
4,2003,58.9,CA
5,2004,56.1,CA
6,2005,61.0,CA
7,2006,59.4,CA
8,2007,53.0,CA
9,2008,53.6,CA
10,2009,60.0,CA
11,2010,52.7,CA
12,2011,51.2,CA
13,2012,52.0,CA
14,2013,47.5,CA
15,2014,48.4,CA
16,2015,48.1,CA
0,2016,45.525092902517336,CA
1,2017,42.256303965786564,CA
2,2018,60.70864420560098,CA
3,2019,9.807745828281359,CA
4,2020,37.383429166616104,CA
5,2021,22.99244754427875,CA
6,2022,0.0,CA
7,2023,38.23378040039406,CA
8,2024,0.0,CA
9,2025,4.799830376121633,CA
