,Year,Nasal,State
0,1999,0.5,CA
1,2000,0.5,CA
2,2001,0.6,CA
3,2002,0.5,CA
4,2003,0.4,CA
5,2004,0.6,CA
6,2005,0.7,CA
7,2006,0.5,CA
8,2007,0.6,CA
9,2008,0.6,CA
10,2009,0.6,CA
11,2010,0.6,CA
12,2011,0.5,CA
13,2012,0.6,CA
14,2013,0.6,CA
15,2014,0.5,CA
16,2015,0.5,CA
0,2016,0.5425030437986607,CA
1,2017,0.3300224080360368,CA
2,2018,0.4695246623796866,CA
3,2019,0.04657310836653519,CA
4,2020,0.0916487135298483,CA
5,2021,0.11720639866693688,CA
6,2022,0.0,CA
7,2023,0.1273523668611504,CA
8,2024,0.0,CA
9,2025,0.0,CA
