,Year,Larynx,State
0,1999,53.9,CA
1,2000,52.5,CA
2,2001,52.0,CA
3,2002,53.2,CA
4,2003,51.3,CA
5,2004,51.6,CA
6,2005,50.8,CA
7,2006,51.4,CA
8,2007,50.6,CA
9,2008,49.6,CA
10,2009,51.6,CA
11,2010,48.8,CA
12,2011,46.8,CA
13,2012,47.0,CA
14,2013,47.0,CA
15,2014,47.0,CA
16,2015,45.7,CA
0,2016,44.83476098237721,CA
1,2017,22.944283703767525,CA
2,2018,37.71117919172551,CA
3,2019,14.772766928352059,CA
4,2020,9.931884192376575,CA
5,2021,2.748852983433066,CA
6,2022,4.445968222492818,CA
7,2023,7.022689063326071,CA
8,2024,0.0,CA
9,2025,2.665180061620125,CA
