,Year,Lung,State
0,1999,4.9,CA
1,2000,4.8,CA
2,2001,4.7,CA
3,2002,4.6,CA
4,2003,4.4,CA
5,2004,4.3,CA
6,2005,4.6,CA
7,2006,4.2,CA
8,2007,4.6,CA
9,2008,4.4,CA
10,2009,3.9,CA
11,2010,4.2,CA
12,2011,4.3,CA
13,2012,4.2,CA
14,2013,4.0,CA
15,2014,3.8,CA
16,2015,3.8,CA
0,2016,4.047035688222022,CA
1,2017,4.465153190683312,CA
2,2018,4.366190480113792,CA
3,2019,3.4731080860470467,CA
4,2020,3.7992496927999406,CA
5,2021,1.4652159118394923,CA
6,2022,2.5658665162258,CA
7,2023,1.790790379618194,CA
8,2024,1.6012285967539854,CA
9,2025,1.6000253924610466,CA
