,Year,Nasal,State
0,1999,0.6,CA
1,2000,0.8,CA
2,2001,0.7,CA
3,2002,0.8,CA
4,2003,0.7,CA
5,2004,0.7,CA
6,2005,0.7,CA
7,2006,0.8,CA
8,2007,0.9,CA
9,2008,0.7,CA
10,2009,0.7,CA
11,2010,0.7,CA
12,2011,0.8,CA
13,2012,0.8,CA
14,2013,1.0,CA
15,2014,0.8,CA
16,2015,0.8,CA
0,2016,0.7427668206954962,CA
1,2017,0.7636307987382202,CA
2,2018,0.8256159675047878,CA
3,2019,1.0494357832383714,CA
4,2020,0.6812981010758916,CA
5,2021,0.670538912248366,CA
6,2022,0.10028684533669152,CA
7,2023,0.7357274423302381,CA
8,2024,0.17732150763129484,CA
9,2025,0.8794484632450605,CA
