,Year,Trachea,State
0,1999,0.3,CA
1,2000,0.3,CA
2,2001,0.3,CA
3,2002,0.2,CA
4,2003,0.3,CA
5,2004,0.3,CA
6,2005,0.3,CA
7,2006,0.2,CA
8,2007,0.3,CA
9,2008,0.2,CA
10,2009,0.2,CA
11,2010,0.3,CA
12,2011,0.4,CA
13,2012,0.3,CA
14,2013,0.3,CA
15,2014,0.3,CA
16,2015,0.3,CA
0,2016,0.24389576734811394,CA
1,2017,0.11780171607238041,CA
2,2018,0.3296003414627091,CA
3,2019,0.2206176440617138,CA
4,2020,0.03624135974478806,CA
5,2021,0.3058368186187154,CA
6,2022,0.1763320169077612,CA
7,2023,0.0,CA
8,2024,0.14339493422046873,CA
9,2025,0.304196575928421,CA
