,Year,Larynx,State
0,1999,39.0,CO
1,2000,40.9,CO
2,2001,44.2,CO
3,2002,44.7,CO
4,2003,45.2,CO
5,2004,46.1,CO
6,2005,45.5,CO
7,2006,44.0,CO
8,2007,47.8,CO
9,2008,48.5,CO
10,2009,47.0,CO
11,2010,46.0,CO
12,2011,45.7,CO
13,2012,48.3,CO
14,2013,47.0,CO
15,2014,46.2,CO
16,2015,45.0,CO
0,2016,46.95960909109559,CO
1,2017,28.36355925456962,CO
2,2018,44.19204591008399,CO
3,2019,31.213203990959997,CO
4,2020,12.686281771262733,CO
5,2021,7.02248326340904,CO
6,2022,20.29198163734072,CO
7,2023,11.86206489776464,CO
8,2024,0.0,CO
9,2025,3.6879135915792007,CO
