,Year,Larynx,State
0,1999,47.9,CO
1,2000,49.3,CO
2,2001,50.1,CO
3,2002,50.7,CO
4,2003,48.6,CO
5,2004,45.6,CO
6,2005,44.1,CO
7,2006,45.7,CO
8,2007,48.2,CO
9,2008,49.7,CO
10,2009,47.4,CO
11,2010,44.2,CO
12,2011,44.6,CO
13,2012,45.3,CO
14,2013,43.1,CO
15,2014,45.4,CO
16,2015,43.8,CO
0,2016,41.621436096232934,CO
1,2017,15.902921065749718,CO
2,2018,41.831902862955644,CO
3,2019,22.57914071715645,CO
4,2020,27.137259396702518,CO
5,2021,33.3729465494996,CO
6,2022,0.0,CO
7,2023,12.23752951429708,CO
8,2024,21.205361539632236,CO
9,2025,0.0,CO
