,Year,Lung,State
0,1999,3.0,CT
1,2000,1.8,CT
2,2001,1.9,CT
3,2002,1.7,CT
4,2003,1.7,CT
5,2004,1.7,CT
6,2005,1.2,CT
7,2006,2.2,CT
8,2007,1.8,CT
9,2008,1.8,CT
10,2009,1.4,CT
11,2010,1.8,CT
12,2011,1.9,CT
13,2012,1.8,CT
14,2013,1.6,CT
15,2014,1.8,CT
16,2015,1.8,CT
0,2016,1.8762205516762136,CT
1,2017,1.7742271156931282,CT
2,2018,1.3100515067175313,CT
3,2019,1.9058426040547283,CT
4,2020,0.20282874545972351,CT
5,2021,1.2160395588341197,CT
6,2022,0.0,CT
7,2023,1.6429105978089078,CT
8,2024,0.0,CT
9,2025,1.806235170018386,CT
