,Year,Larynx,State
0,1999,87.8,CT
1,2000,84.0,CT
2,2001,88.8,CT
3,2002,86.9,CT
4,2003,87.6,CT
5,2004,85.2,CT
6,2005,82.9,CT
7,2006,83.5,CT
8,2007,82.7,CT
9,2008,87.0,CT
10,2009,80.6,CT
11,2010,81.3,CT
12,2011,85.0,CT
13,2012,79.8,CT
14,2013,82.6,CT
15,2014,82.7,CT
16,2015,77.1,CT
0,2016,82.25735417620743,CT
1,2017,96.90103808878293,CT
2,2018,78.32260436857612,CT
3,2019,63.29807708705011,CT
4,2020,94.42400581660213,CT
5,2021,5.355156808277787,CT
6,2022,86.65527598395633,CT
7,2023,4.21322467120531,CT
8,2024,40.15162278667039,CT
9,2025,58.34384589112476,CT
