,Year,Lung,State
0,1999,10.2,DE
1,2000,7.4,DE
2,2001,7.0,DE
3,2002,10.6,DE
4,2003,9.2,DE
5,2004,8.8,DE
6,2005,8.4,DE
7,2006,8.3,DE
8,2007,7.6,DE
9,2008,5.0,DE
10,2009,6.6,DE
11,2010,9.7,DE
12,2011,9.3,DE
13,2012,8.0,DE
14,2013,9.5,DE
15,2014,7.0,DE
16,2015,7.0,DE
0,2016,8.274792321790814,DE
1,2017,3.2233032731683915,DE
2,2018,5.164814103507243,DE
3,2019,4.508965789857172,DE
4,2020,2.2818121002143097,DE
5,2021,2.8942841189407753,DE
6,2022,1.627428705545272,DE
7,2023,0.0,DE
8,2024,1.3992363406122148,DE
9,2025,0.9254958408177875,DE
