,Year,Lung,State
0,1999,7.3,FL
1,2000,8.7,FL
2,2001,7.1,FL
3,2002,6.3,FL
4,2003,8.2,FL
5,2004,8.1,FL
6,2005,7.8,FL
7,2006,6.9,FL
8,2007,6.5,FL
9,2008,6.1,FL
10,2009,6.7,FL
11,2010,6.6,FL
12,2011,4.5,FL
13,2012,5.2,FL
14,2013,4.5,FL
15,2014,4.5,FL
16,2015,5.8,FL
0,2016,3.5648539360593823,FL
1,2017,3.0962738350573007,FL
2,2018,2.9630974640426286,FL
3,2019,0.14808039508273918,FL
4,2020,5.320003938864363,FL
5,2021,0.0,FL
6,2022,3.554038047289998,FL
7,2023,0.0,FL
8,2024,0.0,FL
9,2025,5.7870754260205635,FL
