,Year,Larynx,State
0,1999,62.6,FL
1,2000,57.2,FL
2,2001,54.9,FL
3,2002,56.6,FL
4,2003,60.8,FL
5,2004,57.1,FL
6,2005,50.6,FL
7,2006,56.5,FL
8,2007,54.8,FL
9,2008,54.8,FL
10,2009,47.4,FL
11,2010,50.4,FL
12,2011,51.0,FL
13,2012,50.0,FL
14,2013,44.4,FL
15,2014,43.6,FL
16,2015,42.3,FL
0,2016,42.385668742395545,FL
1,2017,30.15701238920333,FL
2,2018,9.766598941197365,FL
3,2019,18.750245945191146,FL
4,2020,0.0,FL
5,2021,3.5096845476209637,FL
6,2022,0.0,FL
7,2023,22.368949170439564,FL
8,2024,0.0,FL
9,2025,48.94609252510108,FL
