,Year,Lung,State
0,1999,3.2,FL
1,2000,3.0,FL
2,2001,2.9,FL
3,2002,2.4,FL
4,2003,2.4,FL
5,2004,2.5,FL
6,2005,2.4,FL
7,2006,2.5,FL
8,2007,2.2,FL
9,2008,2.3,FL
10,2009,2.1,FL
11,2010,2.2,FL
12,2011,2.3,FL
13,2012,2.4,FL
14,2013,2.0,FL
15,2014,2.3,FL
16,2015,1.8,FL
0,2016,2.206946351584471,FL
1,2017,1.9008315497739146,FL
2,2018,0.6727012117838083,FL
3,2019,1.816638929506444,FL
4,2020,0.0,FL
5,2021,2.6958504947874675,FL
6,2022,0.0,FL
7,2023,5.614251031200668,FL
8,2024,0.0,FL
9,2025,13.998349967993825,FL
