,Year,Nasal,State
0,1999,0.9,FL
1,2000,0.7,FL
2,2001,1.0,FL
3,2002,0.9,FL
4,2003,0.7,FL
5,2004,1.0,FL
6,2005,0.7,FL
7,2006,0.8,FL
8,2007,0.9,FL
9,2008,1.0,FL
10,2009,0.7,FL
11,2010,0.7,FL
12,2011,0.7,FL
13,2012,0.7,FL
14,2013,0.7,FL
15,2014,0.6,FL
16,2015,0.6,FL
0,2016,0.5924118347459056,FL
1,2017,0.4865335850127417,FL
2,2018,0.49122094184659154,FL
3,2019,0.42328455153944355,FL
4,2020,0.2530187682362797,FL
5,2021,0.21968368280860862,FL
6,2022,0.06411834429291519,FL
7,2023,0.14251456994589645,FL
8,2024,0.0014679291725565036,FL
9,2025,0.065035818897756,FL
