,Year,Larynx,State
0,1999,95.9,FL
1,2000,97.5,FL
2,2001,95.4,FL
3,2002,95.6,FL
4,2003,94.8,FL
5,2004,96.3,FL
6,2005,93.8,FL
7,2006,91.9,FL
8,2007,91.7,FL
9,2008,94.3,FL
10,2009,93.3,FL
11,2010,93.0,FL
12,2011,90.7,FL
13,2012,93.6,FL
14,2013,90.1,FL
15,2014,88.5,FL
16,2015,86.1,FL
0,2016,90.92686216143206,FL
1,2017,11.228095678613307,FL
2,2018,51.46651300747026,FL
3,2019,96.62826239570938,FL
4,2020,0.0,FL
5,2021,0.0,FL
6,2022,83.0007384413098,FL
7,2023,73.94685614264455,FL
8,2024,0.0,FL
9,2025,0.0,FL
