,Year,Trachea,State
0,1999,0.6,FL
1,2000,0.4,FL
2,2001,0.4,FL
3,2002,0.4,FL
4,2003,0.4,FL
5,2004,0.2,FL
6,2005,0.3,FL
7,2006,0.3,FL
8,2007,0.3,FL
9,2008,0.4,FL
10,2009,0.4,FL
11,2010,0.3,FL
12,2011,0.3,FL
13,2012,0.5,FL
14,2013,0.4,FL
15,2014,0.3,FL
16,2015,0.3,FL
0,2016,0.3668347211494719,FL
1,2017,0.1738360061201742,FL
2,2018,0.2699962700010037,FL
3,2019,0.20504260664758334,FL
4,2020,0.07890511873488318,FL
5,2021,0.13360191841786848,FL
6,2022,0.10005922556217713,FL
7,2023,0.015051052382644436,FL
8,2024,0.07208846598947052,FL
9,2025,0.05846244055435242,FL
