,Year,Larynx,State
0,1999,128.3,FL
1,2000,128.5,FL
2,2001,122.8,FL
3,2002,123.0,FL
4,2003,119.8,FL
5,2004,119.4,FL
6,2005,119.0,FL
7,2006,114.2,FL
8,2007,110.7,FL
9,2008,112.1,FL
10,2009,113.0,FL
11,2010,109.7,FL
12,2011,105.2,FL
13,2012,107.1,FL
14,2013,103.8,FL
15,2014,101.0,FL
16,2015,96.4,FL
0,2016,97.5664732999673,FL
1,2017,56.4091575882611,FL
2,2018,102.9193879109799,FL
3,2019,54.463284953042276,FL
4,2020,9.076531307892068,FL
5,2021,33.18963525718465,FL
6,2022,36.8995913216532,FL
7,2023,0.0,FL
8,2024,0.0,FL
9,2025,17.48266145142869,FL
