,Year,Larynx,State
0,1999,26.6,GA
1,2000,28.4,GA
2,2001,27.7,GA
3,2002,29.0,GA
4,2003,31.1,GA
5,2004,29.4,GA
6,2005,31.8,GA
7,2006,30.6,GA
8,2007,33.0,GA
9,2008,32.6,GA
10,2009,33.1,GA
11,2010,34.3,GA
12,2011,32.2,GA
13,2012,37.6,GA
14,2013,34.0,GA
15,2014,34.6,GA
16,2015,34.6,GA
0,2016,36.89770218598785,GA
1,2017,43.03776324618482,GA
2,2018,30.84283176226114,GA
3,2019,34.735118622610116,GA
4,2020,5.155799628545118,GA
5,2021,13.606028139803385,GA
6,2022,26.027401751586275,GA
7,2023,0.0,GA
8,2024,18.316561503048995,GA
9,2025,0.0,GA
