,Year,Lung,State
0,1999,2.0,GA
1,2000,1.4,GA
2,2001,1.5,GA
3,2002,2.1,GA
4,2003,2.1,GA
5,2004,1.9,GA
6,2005,2.3,GA
7,2006,1.8,GA
8,2007,1.5,GA
9,2008,1.7,GA
10,2009,1.4,GA
11,2010,2.2,GA
12,2011,1.9,GA
13,2012,2.1,GA
14,2013,1.3,GA
15,2014,1.8,GA
16,2015,2.2,GA
0,2016,2.1154613829885367,GA
1,2017,1.7147855585803033,GA
2,2018,1.22793770409957,GA
3,2019,1.3206085633360685,GA
4,2020,1.3795530041314725,GA
5,2021,1.1923374097693338,GA
6,2022,0.5907778044069565,GA
7,2023,0.7265952777264244,GA
8,2024,0.31433387866243945,GA
9,2025,0.7905672051048052,GA
