,Year,Larynx,State
0,1999,56.9,GA
1,2000,59.8,GA
2,2001,61.5,GA
3,2002,62.7,GA
4,2003,62.3,GA
5,2004,62.0,GA
6,2005,64.7,GA
7,2006,66.4,GA
8,2007,70.3,GA
9,2008,71.6,GA
10,2009,70.2,GA
11,2010,66.6,GA
12,2011,70.1,GA
13,2012,71.9,GA
14,2013,70.4,GA
15,2014,71.2,GA
16,2015,70.3,GA
0,2016,71.6662439977546,GA
1,2017,9.714498765103361,GA
2,2018,37.2449006376611,GA
3,2019,39.26956444550627,GA
4,2020,19.159552538215415,GA
5,2021,6.634490821390571,GA
6,2022,0.46782888855220284,GA
7,2023,14.29781850894498,GA
8,2024,11.277033337570915,GA
9,2025,0.0,GA
