,Year,Nasal,State
0,1999,0.9,GA
1,2000,1.1,GA
2,2001,0.9,GA
3,2002,1.0,GA
4,2003,1.1,GA
5,2004,0.7,GA
6,2005,0.9,GA
7,2006,0.9,GA
8,2007,0.9,GA
9,2008,1.2,GA
10,2009,1.1,GA
11,2010,1.1,GA
12,2011,1.1,GA
13,2012,1.6,GA
14,2013,1.3,GA
15,2014,1.3,GA
16,2015,0.9,GA
0,2016,1.3314504610021598,GA
1,2017,0.9938907843040192,GA
2,2018,1.1075867714304033,GA
3,2019,1.0361927294120057,GA
4,2020,0.7097624315687936,GA
5,2021,0.5529304601325892,GA
6,2022,0.49304999237114816,GA
7,2023,0.5257611601496468,GA
8,2024,0.3961899760509967,GA
9,2025,0.3821314224981296,GA
