,Year,Lung,State
0,1999,8.4,IA
1,2000,7.9,IA
2,2001,7.1,IA
3,2002,7.5,IA
4,2003,7.8,IA
5,2004,7.9,IA
6,2005,8.0,IA
7,2006,8.0,IA
8,2007,7.9,IA
9,2008,8.5,IA
10,2009,8.1,IA
11,2010,9.0,IA
12,2011,7.7,IA
13,2012,9.6,IA
14,2013,8.1,IA
15,2014,8.0,IA
16,2015,6.6,IA
0,2016,9.950809086359067,IA
1,2017,6.707283729560295,IA
2,2018,8.256905085910619,IA
3,2019,7.334501087238717,IA
4,2020,4.318905426998731,IA
5,2021,4.365605995489105,IA
6,2022,5.008671948728045,IA
7,2023,2.312671767565442,IA
8,2024,2.7121240933492308,IA
9,2025,2.902303838345412,IA
