,Year,Larynx,State
0,1999,51.2,IL
1,2000,44.7,IL
2,2001,48.6,IL
3,2002,55.7,IL
4,2003,55.0,IL
5,2004,55.4,IL
6,2005,55.5,IL
7,2006,60.9,IL
8,2007,58.0,IL
9,2008,58.8,IL
10,2009,62.5,IL
11,2010,60.4,IL
12,2011,59.0,IL
13,2012,66.7,IL
14,2013,61.7,IL
15,2014,62.9,IL
16,2015,66.6,IL
0,2016,66.27849545137684,IL
1,2017,99.81535332130409,IL
2,2018,40.34326549903533,IL
3,2019,78.12119521230852,IL
4,2020,0.9397429417251999,IL
5,2021,95.62368746911548,IL
6,2022,0.0,IL
7,2023,142.4384027764492,IL
8,2024,0.0,IL
9,2025,240.09493924307617,IL
