,Year,Lung,State
0,1999,10.2,IL
1,2000,8.8,IL
2,2001,9.9,IL
3,2002,9.4,IL
4,2003,9.4,IL
5,2004,8.8,IL
6,2005,9.0,IL
7,2006,7.9,IL
8,2007,10.9,IL
9,2008,7.6,IL
10,2009,9.1,IL
11,2010,9.5,IL
12,2011,6.7,IL
13,2012,7.9,IL
14,2013,8.6,IL
15,2014,8.6,IL
16,2015,9.0,IL
0,2016,7.468150698207542,IL
1,2017,8.565691120319691,IL
2,2018,7.247093383676095,IL
3,2019,10.640779452469973,IL
4,2020,7.550228493421217,IL
5,2021,6.012486040947856,IL
6,2022,1.0454734881213508,IL
7,2023,7.235494002520083,IL
8,2024,0.6247548202772251,IL
9,2025,9.605761373382808,IL
