,Year,Lung,State
0,1999,1.5,IL
1,2000,1.8,IL
2,2001,1.7,IL
3,2002,1.7,IL
4,2003,1.7,IL
5,2004,1.4,IL
6,2005,1.9,IL
7,2006,1.5,IL
8,2007,1.9,IL
9,2008,1.8,IL
10,2009,1.9,IL
11,2010,2.0,IL
12,2011,1.7,IL
13,2012,1.9,IL
14,2013,1.5,IL
15,2014,2.0,IL
16,2015,1.6,IL
0,2016,2.042705700268199,IL
1,2017,1.707226285048604,IL
2,2018,0.22090022933200504,IL
3,2019,1.6239634679966113,IL
4,2020,0.0,IL
5,2021,2.7251521478676173,IL
6,2022,0.0,IL
7,2023,4.694804439801501,IL
8,2024,0.0,IL
9,2025,10.220095820296585,IL
