,Year,Nasal,State
0,1999,0.6,IL
1,2000,0.5,IL
2,2001,0.6,IL
3,2002,0.6,IL
4,2003,0.6,IL
5,2004,0.6,IL
6,2005,0.4,IL
7,2006,0.7,IL
8,2007,0.5,IL
9,2008,0.5,IL
10,2009,0.7,IL
11,2010,0.6,IL
12,2011,0.4,IL
13,2012,0.6,IL
14,2013,0.6,IL
15,2014,0.7,IL
16,2015,0.5,IL
0,2016,0.4303983297663646,IL
1,2017,0.9145573186945448,IL
2,2018,0.7666483672498057,IL
3,2019,0.811211813354147,IL
4,2020,0.3988841512655896,IL
5,2021,0.5823809726997518,IL
6,2022,0.398328168843086,IL
7,2023,0.7239271291388452,IL
8,2024,0.04752846500747321,IL
9,2025,0.7026665236188432,IL
