,Year,Larynx,State
0,1999,64.0,IL
1,2000,64.1,IL
2,2001,65.4,IL
3,2002,67.8,IL
4,2003,68.9,IL
5,2004,68.1,IL
6,2005,70.1,IL
7,2006,71.9,IL
8,2007,73.3,IL
9,2008,75.2,IL
10,2009,76.6,IL
11,2010,73.5,IL
12,2011,73.2,IL
13,2012,73.2,IL
14,2013,70.2,IL
15,2014,77.9,IL
16,2015,75.8,IL
0,2016,76.563487499233,IL
1,2017,36.34006708920869,IL
2,2018,16.43761679256092,IL
3,2019,0.0,IL
4,2020,91.12396370898917,IL
5,2021,0.0,IL
6,2022,33.846339503284966,IL
7,2023,107.13414654495897,IL
8,2024,0.0,IL
9,2025,242.34774050498297,IL
