,Year,Larynx,State
0,1999,85.5,IL
1,2000,83.4,IL
2,2001,84.4,IL
3,2002,84.9,IL
4,2003,84.7,IL
5,2004,80.5,IL
6,2005,81.8,IL
7,2006,83.0,IL
8,2007,83.1,IL
9,2008,82.2,IL
10,2009,84.0,IL
11,2010,80.1,IL
12,2011,81.8,IL
13,2012,79.8,IL
14,2013,80.5,IL
15,2014,82.3,IL
16,2015,79.2,IL
0,2016,80.05881904404335,IL
1,2017,74.68860405046611,IL
2,2018,61.880031614191665,IL
3,2019,64.28753187424785,IL
4,2020,62.866851837453495,IL
5,2021,33.664072970763144,IL
6,2022,34.93521318434733,IL
7,2023,21.089473960134196,IL
8,2024,28.151834066378548,IL
9,2025,20.35023452143438,IL
