,Year,Larynx,State
0,1999,73.6,IN
1,2000,64.6,IN
2,2001,67.9,IN
3,2002,76.5,IN
4,2003,75.8,IN
5,2004,66.8,IN
6,2005,72.2,IN
7,2006,65.1,IN
8,2007,72.4,IN
9,2008,70.3,IN
10,2009,75.9,IN
11,2010,65.4,IN
12,2011,65.8,IN
13,2012,62.2,IN
14,2013,55.1,IN
15,2014,64.8,IN
16,2015,50.8,IN
0,2016,63.63310373873515,IN
1,2017,43.44748189706232,IN
2,2018,4.624052219894917,IN
3,2019,28.91450851299704,IN
4,2020,0.0,IN
5,2021,40.03071803775535,IN
6,2022,0.0,IN
7,2023,57.76003878873439,IN
8,2024,0.0,IN
9,2025,107.31502405628726,IN
