,Year,Lung,State
0,1999,2.0,IN
1,2000,2.0,IN
2,2001,2.4,IN
3,2002,2.2,IN
4,2003,2.1,IN
5,2004,2.1,IN
6,2005,2.3,IN
7,2006,2.1,IN
8,2007,2.0,IN
9,2008,2.4,IN
10,2009,2.3,IN
11,2010,2.8,IN
12,2011,2.4,IN
13,2012,2.5,IN
14,2013,1.9,IN
15,2014,2.2,IN
16,2015,2.1,IN
0,2016,2.739391794348106,IN
1,2017,1.3754313827940676,IN
2,2018,1.0218472461587162,IN
3,2019,1.5863155475044144,IN
4,2020,1.563951589500057,IN
5,2021,1.5623780498506,IN
6,2022,0.3555117297825565,IN
7,2023,0.5464880340320377,IN
8,2024,0.0,IN
9,2025,1.3134469566948614,IN
