,Year,Larynx,State
0,1999,95.5,IN
1,2000,92.7,IN
2,2001,97.3,IN
3,2002,93.9,IN
4,2003,94.9,IN
5,2004,91.2,IN
6,2005,94.7,IN
7,2006,96.3,IN
8,2007,96.3,IN
9,2008,99.0,IN
10,2009,95.1,IN
11,2010,95.7,IN
12,2011,96.4,IN
13,2012,95.2,IN
14,2013,96.4,IN
15,2014,94.0,IN
16,2015,98.6,IN
0,2016,96.6239021336924,IN
1,2017,79.1654064438227,IN
2,2018,45.50529725261008,IN
3,2019,69.5289776896821,IN
4,2020,54.167560303081636,IN
5,2021,32.99519338128179,IN
6,2022,34.379854073440846,IN
7,2023,0.41483505013943756,IN
8,2024,44.616688636401456,IN
9,2025,0.0,IN
