,Year,Lung,State
0,1999,6.5,KS
1,2000,8.9,KS
2,2001,6.3,KS
3,2002,6.4,KS
4,2003,6.9,KS
5,2004,6.0,KS
6,2005,7.0,KS
7,2006,6.3,KS
8,2007,6.7,KS
9,2008,6.6,KS
10,2009,5.8,KS
11,2010,7.6,KS
12,2011,5.0,KS
13,2012,7.6,KS
14,2013,6.6,KS
15,2014,5.3,KS
16,2015,6.3,KS
0,2016,9.580236840233628,KS
1,2017,10.89441193993349,KS
2,2018,5.03481359117707,KS
3,2019,14.980418228411594,KS
4,2020,0.0,KS
5,2021,36.15543854549418,KS
6,2022,0.0,KS
7,2023,128.7438930186712,KS
8,2024,0.0,KS
9,2025,519.3228981452614,KS
