,Year,Larynx,State
0,1999,81.5,KS
1,2000,80.3,KS
2,2001,80.1,KS
3,2002,76.7,KS
4,2003,81.8,KS
5,2004,79.1,KS
6,2005,80.4,KS
7,2006,78.9,KS
8,2007,84.6,KS
9,2008,81.2,KS
10,2009,74.7,KS
11,2010,70.0,KS
12,2011,78.1,KS
13,2012,75.8,KS
14,2013,80.1,KS
15,2014,76.3,KS
16,2015,71.3,KS
0,2016,64.92050508572913,KS
1,2017,28.542518161386965,KS
2,2018,80.22558522559137,KS
3,2019,86.67088032785624,KS
4,2020,32.931005344650885,KS
5,2021,42.77948469517652,KS
6,2022,32.102306409993815,KS
7,2023,0.9582884426104563,KS
8,2024,26.375717837287382,KS
9,2025,57.490447822992664,KS
