,Year,Lung,State
0,1999,2.9,KY
1,2000,2.7,KY
2,2001,3.5,KY
3,2002,2.3,KY
4,2003,3.0,KY
5,2004,2.9,KY
6,2005,2.4,KY
7,2006,3.5,KY
8,2007,3.0,KY
9,2008,3.0,KY
10,2009,3.4,KY
11,2010,3.5,KY
12,2011,2.9,KY
13,2012,3.2,KY
14,2013,2.7,KY
15,2014,4.1,KY
16,2015,3.2,KY
0,2016,3.412773588661611,KY
1,2017,4.242689413627277,KY
2,2018,2.601704757197857,KY
3,2019,4.147583836208508,KY
4,2020,2.2079676702266138,KY
5,2021,3.2666770156663434,KY
6,2022,0.8012237011579506,KY
7,2023,3.4171972037697778,KY
8,2024,0.0,KY
9,2025,4.06890231475899,KY
