,Year,Lung,State
0,1999,9.4,KY
1,2000,10.8,KY
2,2001,10.1,KY
3,2002,10.1,KY
4,2003,9.1,KY
5,2004,9.9,KY
6,2005,10.2,KY
7,2006,10.1,KY
8,2007,10.5,KY
9,2008,10.7,KY
10,2009,10.5,KY
11,2010,10.4,KY
12,2011,10.9,KY
13,2012,11.9,KY
14,2013,11.2,KY
15,2014,10.3,KY
16,2015,9.8,KY
0,2016,10.287364510299726,KY
1,2017,0.07224026913815379,KY
2,2018,5.519727554732454,KY
3,2019,10.406062693903852,KY
4,2020,2.985222575803889,KY
5,2021,0.0,KY
6,2022,3.5509840683968905,KY
7,2023,3.2719684267916804,KY
8,2024,0.0,KY
9,2025,0.8429740779698642,KY
