,Year,Larynx,State
0,1999,128.8,KY
1,2000,128.2,KY
2,2001,134.5,KY
3,2002,130.3,KY
4,2003,128.0,KY
5,2004,133.0,KY
6,2005,126.3,KY
7,2006,130.7,KY
8,2007,128.1,KY
9,2008,130.9,KY
10,2009,129.5,KY
11,2010,132.0,KY
12,2011,124.8,KY
13,2012,126.7,KY
14,2013,131.5,KY
15,2014,130.8,KY
16,2015,125.1,KY
0,2016,125.12809509611078,KY
1,2017,164.8195095323024,KY
2,2018,156.34551194472004,KY
3,2019,186.48860569329426,KY
4,2020,68.2634562438471,KY
5,2021,145.39703381357697,KY
6,2022,17.59511036292207,KY
7,2023,220.91195859237865,KY
8,2024,0.0,KY
9,2025,258.0317973838596,KY
