,Year,Lung,State
0,1999,9.9,LA
1,2000,9.7,LA
2,2001,10.9,LA
3,2002,10.1,LA
4,2003,11.2,LA
5,2004,10.6,LA
6,2005,9.0,LA
7,2006,10.0,LA
8,2007,10.9,LA
9,2008,10.0,LA
10,2009,8.9,LA
11,2010,9.4,LA
12,2011,10.0,LA
13,2012,9.8,LA
14,2013,10.7,LA
15,2014,13.8,LA
16,2015,10.5,LA
0,2016,6.735149355432049,LA
1,2017,1.51901873330352,LA
2,2018,20.289682632581194,LA
3,2019,5.6505339342289425,LA
4,2020,0.0,LA
5,2021,29.920860334018435,LA
6,2022,6.84265253458333,LA
7,2023,0.0,LA
8,2024,45.97878306685201,LA
9,2025,38.70118447329786,LA
