,Year,Lung,State
0,1999,2.8,LA
1,2000,2.6,LA
2,2001,3.2,LA
3,2002,2.1,LA
4,2003,2.3,LA
5,2004,2.7,LA
6,2005,1.9,LA
7,2006,2.5,LA
8,2007,3.0,LA
9,2008,2.0,LA
10,2009,3.2,LA
11,2010,2.7,LA
12,2011,2.4,LA
13,2012,2.4,LA
14,2013,2.9,LA
15,2014,2.4,LA
16,2015,3.6,LA
0,2016,2.921139345807722,LA
1,2017,2.8052467128357845,LA
2,2018,0.23267911619842874,LA
3,2019,2.0546196227026323,LA
4,2020,0.0,LA
5,2021,4.38363808033765,LA
6,2022,0.0,LA
7,2023,6.841741093026943,LA
8,2024,0.0,LA
9,2025,11.44148373730652,LA
