,Year,Larynx,State
0,1999,67.6,LA
1,2000,69.7,LA
2,2001,74.9,LA
3,2002,69.0,LA
4,2003,73.9,LA
5,2004,74.8,LA
6,2005,75.4,LA
7,2006,75.0,LA
8,2007,79.3,LA
9,2008,76.5,LA
10,2009,75.6,LA
11,2010,71.9,LA
12,2011,73.1,LA
13,2012,76.8,LA
14,2013,78.0,LA
15,2014,75.4,LA
16,2015,76.2,LA
0,2016,76.43321575476303,LA
1,2017,12.84116119246337,LA
2,2018,37.69526646608668,LA
3,2019,51.58171889757975,LA
4,2020,24.67057013206274,LA
5,2021,18.249264422787828,LA
6,2022,21.82029714663156,LA
7,2023,5.6947062791377725,LA
8,2024,4.0279249272411555,LA
9,2025,14.130863895349565,LA
