,Year,Lung,State
0,1999,9.5,LA
1,2000,10.2,LA
2,2001,9.3,LA
3,2002,9.3,LA
4,2003,8.5,LA
5,2004,10.0,LA
6,2005,9.2,LA
7,2006,9.7,LA
8,2007,8.6,LA
9,2008,10.2,LA
10,2009,8.7,LA
11,2010,9.7,LA
12,2011,10.5,LA
13,2012,10.1,LA
14,2013,8.5,LA
15,2014,8.1,LA
16,2015,8.4,LA
0,2016,9.581944270211354,LA
1,2017,6.334234976737865,LA
2,2018,8.615656133154125,LA
3,2019,8.105238118961253,LA
4,2020,5.471606958855497,LA
5,2021,5.401500609937532,LA
6,2022,2.5889765418450676,LA
7,2023,2.6727249736079064,LA
8,2024,3.493075246129596,LA
9,2025,3.3342307938396782,LA
