,Year,Lung,State
0,1999,2.0,MA
1,2000,2.2,MA
2,2001,2.0,MA
3,2002,1.7,MA
4,2003,2.4,MA
5,2004,2.0,MA
6,2005,1.6,MA
7,2006,2.1,MA
8,2007,2.0,MA
9,2008,2.2,MA
10,2009,2.5,MA
11,2010,2.0,MA
12,2011,1.7,MA
13,2012,2.5,MA
14,2013,1.8,MA
15,2014,1.9,MA
16,2015,2.1,MA
0,2016,1.8290910996673508,MA
1,2017,1.6832961772092965,MA
2,2018,2.365428899461496,MA
3,2019,0.7999066342970289,MA
4,2020,1.982340241599726,MA
5,2021,0.9376056168237025,MA
6,2022,0.2683246521008684,MA
7,2023,1.58834790025424,MA
8,2024,0.0,MA
9,2025,0.7463251664541154,MA
