,Year,Lung,State
0,1999,8.2,MD
1,2000,8.3,MD
2,2001,7.1,MD
3,2002,7.0,MD
4,2003,5.7,MD
5,2004,5.7,MD
6,2005,5.4,MD
7,2006,6.3,MD
8,2007,7.1,MD
9,2008,5.0,MD
10,2009,6.6,MD
11,2010,5.8,MD
12,2011,7.6,MD
13,2012,6.0,MD
14,2013,6.2,MD
15,2014,6.2,MD
16,2015,4.6,MD
0,2016,7.149182951869599,MD
1,2017,3.9903987652108515,MD
2,2018,3.518275921930246,MD
3,2019,2.9916531100611437,MD
4,2020,2.252476295693448,MD
5,2021,0.43883327782465087,MD
6,2022,0.8113678858145275,MD
7,2023,0.20616502800997494,MD
8,2024,1.1181398760923404,MD
9,2025,0.0,MD
