,Year,Larynx,State
0,1999,66.7,MD
1,2000,68.4,MD
2,2001,55.8,MD
3,2002,57.8,MD
4,2003,64.6,MD
5,2004,56.1,MD
6,2005,58.7,MD
7,2006,51.8,MD
8,2007,55.1,MD
9,2008,56.9,MD
10,2009,54.2,MD
11,2010,56.8,MD
12,2011,53.6,MD
13,2012,54.7,MD
14,2013,56.5,MD
15,2014,56.3,MD
16,2015,47.3,MD
0,2016,48.93728394727179,MD
1,2017,30.657693048051247,MD
2,2018,42.899476658134276,MD
3,2019,37.03156337197737,MD
4,2020,21.152544706702944,MD
5,2021,0.0,MD
6,2022,14.81241124999148,MD
7,2023,13.435163455095518,MD
8,2024,6.806361278264786,MD
9,2025,0.0,MD
