,Year,Larynx,State
0,1999,73.3,MD
1,2000,70.5,MD
2,2001,67.8,MD
3,2002,72.1,MD
4,2003,77.3,MD
5,2004,76.7,MD
6,2005,75.5,MD
7,2006,79.6,MD
8,2007,77.7,MD
9,2008,77.0,MD
10,2009,75.4,MD
11,2010,71.9,MD
12,2011,76.8,MD
13,2012,72.8,MD
14,2013,74.5,MD
15,2014,74.6,MD
16,2015,76.6,MD
0,2016,74.52627978879538,MD
1,2017,56.309800174841534,MD
2,2018,26.99241025941642,MD
3,2019,15.102194175369018,MD
4,2020,0.0,MD
5,2021,4.639182238945338,MD
6,2022,0.0,MD
7,2023,3.5041915564780766,MD
8,2024,0.0,MD
9,2025,5.51977493422018,MD
