,Year,Lung,State
0,1999,8.0,MD
1,2000,7.3,MD
2,2001,6.2,MD
3,2002,7.4,MD
4,2003,7.0,MD
5,2004,6.7,MD
6,2005,7.0,MD
7,2006,6.2,MD
8,2007,7.6,MD
9,2008,6.8,MD
10,2009,7.1,MD
11,2010,5.9,MD
12,2011,6.3,MD
13,2012,5.0,MD
14,2013,6.8,MD
15,2014,5.7,MD
16,2015,5.0,MD
0,2016,5.425766476004076,MD
1,2017,5.070980024824904,MD
2,2018,3.325037379240503,MD
3,2019,5.390383658012224,MD
4,2020,1.4617695395741048,MD
5,2021,4.13127177126023,MD
6,2022,0.0,MD
7,2023,5.115034821499135,MD
8,2024,0.0,MD
9,2025,7.701645610832795,MD
