,Year,Larynx,State
0,1999,72.6,ME
1,2000,78.4,ME
2,2001,83.6,ME
3,2002,81.7,ME
4,2003,83.7,ME
5,2004,86.8,ME
6,2005,87.6,ME
7,2006,89.4,ME
8,2007,90.4,ME
9,2008,92.1,ME
10,2009,96.4,ME
11,2010,95.1,ME
12,2011,88.5,ME
13,2012,102.6,ME
14,2013,97.2,ME
15,2014,98.7,ME
16,2015,101.2,ME
0,2016,99.36603450428161,ME
1,2017,156.13589555962707,ME
2,2018,89.69440449684406,ME
3,2019,120.05417890161861,ME
4,2020,70.22171622605836,ME
5,2021,56.88287717211381,ME
6,2022,127.5210977637045,ME
7,2023,0.0,ME
8,2024,202.62444194401564,ME
9,2025,0.0,ME
