,Year,Larynx,State
0,1999,105.3,ME
1,2000,108.7,ME
2,2001,106.1,ME
3,2002,103.7,ME
4,2003,107.6,ME
5,2004,110.9,ME
6,2005,107.2,ME
7,2006,108.3,ME
8,2007,109.3,ME
9,2008,105.2,ME
10,2009,111.2,ME
11,2010,105.6,ME
12,2011,102.0,ME
13,2012,111.1,ME
14,2013,120.3,ME
15,2014,111.5,ME
16,2015,107.2,ME
0,2016,106.81051637735763,ME
1,2017,60.63387951686634,ME
2,2018,158.1245133496692,ME
3,2019,114.45542480841189,ME
4,2020,70.55548717775264,ME
5,2021,107.6835429830715,ME
6,2022,11.444948153099546,ME
7,2023,30.817508728936822,ME
8,2024,139.8347910049888,ME
9,2025,0.10007252270315803,ME
