,Year,Larynx,State
0,1999,54.7,MI
1,2000,49.6,MI
2,2001,52.9,MI
3,2002,55.3,MI
4,2003,54.1,MI
5,2004,58.5,MI
6,2005,60.7,MI
7,2006,62.4,MI
8,2007,60.7,MI
9,2008,52.4,MI
10,2009,58.2,MI
11,2010,58.5,MI
12,2011,62.8,MI
13,2012,62.3,MI
14,2013,61.0,MI
15,2014,65.4,MI
16,2015,56.8,MI
0,2016,63.18914888182084,MI
1,2017,37.263537985570615,MI
2,2018,30.517841228523118,MI
3,2019,37.71135023667007,MI
4,2020,42.833408736931645,MI
5,2021,12.484247805774066,MI
6,2022,18.681048795891044,MI
7,2023,0.0,MI
8,2024,21.416552414116037,MI
9,2025,9.71516615109416,MI
