,Year,Nasal,State
0,1999,0.5,MI
1,2000,0.5,MI
2,2001,0.6,MI
3,2002,0.7,MI
4,2003,0.6,MI
5,2004,0.6,MI
6,2005,0.9,MI
7,2006,0.4,MI
8,2007,0.7,MI
9,2008,0.5,MI
10,2009,0.6,MI
11,2010,0.6,MI
12,2011,0.6,MI
13,2012,0.6,MI
14,2013,0.7,MI
15,2014,0.7,MI
16,2015,0.5,MI
0,2016,0.76911943068658,MI
1,2017,0.7475765940995582,MI
2,2018,0.3746675609684156,MI
3,2019,0.48652886364308495,MI
4,2020,0.046539676389604656,MI
5,2021,0.4946137654056737,MI
6,2022,0.0,MI
7,2023,0.7983856990516278,MI
8,2024,0.0,MI
9,2025,1.6117622781276824,MI
