,Year,Nasal,State
0,1999,0.9,MI
1,2000,0.7,MI
2,2001,0.8,MI
3,2002,0.9,MI
4,2003,0.7,MI
5,2004,0.8,MI
6,2005,1.1,MI
7,2006,0.8,MI
8,2007,1.0,MI
9,2008,1.1,MI
10,2009,1.3,MI
11,2010,0.7,MI
12,2011,1.1,MI
13,2012,1.2,MI
14,2013,1.0,MI
15,2014,1.2,MI
16,2015,0.7,MI
0,2016,1.688317648290413,MI
1,2017,1.315165348814107,MI
2,2018,1.4833198573983295,MI
3,2019,0.8544109439012931,MI
4,2020,1.354120739001074,MI
5,2021,0.2581295754222297,MI
6,2022,1.7495588846628887,MI
7,2023,0.0,MI
8,2024,2.8735039360405685,MI
9,2025,0.0,MI
