,Year,Larynx,State
0,1999,85.2,MI
1,2000,88.2,MI
2,2001,85.7,MI
3,2002,85.7,MI
4,2003,91.8,MI
5,2004,88.0,MI
6,2005,89.6,MI
7,2006,88.5,MI
8,2007,90.9,MI
9,2008,88.9,MI
10,2009,88.6,MI
11,2010,91.9,MI
12,2011,87.2,MI
13,2012,89.9,MI
14,2013,86.3,MI
15,2014,89.2,MI
16,2015,85.2,MI
0,2016,85.82089790916248,MI
1,2017,109.70221601321609,MI
2,2018,0.0,MI
3,2019,93.04897742367707,MI
4,2020,0.0,MI
5,2021,175.61107704832506,MI
6,2022,0.0,MI
7,2023,454.8388388774514,MI
8,2024,0.0,MI
9,2025,1202.8169782749233,MI
