,Year,Lung,State
0,1999,1.3,MN
1,2000,1.3,MN
2,2001,1.3,MN
3,2002,1.2,MN
4,2003,1.3,MN
5,2004,1.3,MN
6,2005,1.5,MN
7,2006,1.4,MN
8,2007,1.6,MN
9,2008,1.6,MN
10,2009,0.9,MN
11,2010,1.3,MN
12,2011,1.5,MN
13,2012,1.2,MN
14,2013,1.3,MN
15,2014,1.3,MN
16,2015,1.5,MN
0,2016,1.4900760363771028,MN
1,2017,0.7133536478635436,MN
2,2018,1.4792569050575404,MN
3,2019,0.4365989502220794,MN
4,2020,0.5986650989531175,MN
5,2021,0.6308079140831091,MN
6,2022,0.0,MN
7,2023,0.8728929400983612,MN
8,2024,0.0,MN
9,2025,0.015639197508583447,MN
