,Year,Lung,State
0,1999,6.0,MN
1,2000,4.8,MN
2,2001,5.1,MN
3,2002,5.2,MN
4,2003,5.1,MN
5,2004,5.5,MN
6,2005,6.1,MN
7,2006,6.0,MN
8,2007,5.2,MN
9,2008,6.2,MN
10,2009,6.2,MN
11,2010,5.1,MN
12,2011,5.1,MN
13,2012,6.1,MN
14,2013,5.8,MN
15,2014,5.9,MN
16,2015,5.3,MN
0,2016,5.892176598314194,MN
1,2017,3.5793656321678853,MN
2,2018,5.135331273591882,MN
3,2019,3.5965911798437844,MN
4,2020,1.2191767479130802,MN
5,2021,3.4206029645265073,MN
6,2022,2.0202948588635126,MN
7,2023,0.2572045866916193,MN
8,2024,1.3939709074314557,MN
9,2025,2.2458783399334976,MN
